answer,clue
FU DD,Fictional rabbit hunter
ZOO,Vet's employer
GEOM,Math. class
LESE,___-humanite (crime against humanity): Fr.
BOTOX,Shot in the crease?
ATIVE,Suffix with exploit
TRUCE,It may be called on the battlefield
OMB,White House financial advisory grp.
TO AD,Despicable one
DO IT,"""Get busy!"""
EM ME,"Model Melissa Aronson, familiarly"
DRUMS,They take a beating
DEFY,Buck
BETTE,"""___ Davis Eyes,"" 1981 #1 hit"
EVICT,Remove
SLIDE,Drop a bit
FG HI,E trailer
ZIG,Not go straight
LAPAZ,City of the Altiplano
SUET,Cooking fat
SPAN,Reach over
RODS,Parts of window treatments
OTOS,Siouan Indians
DROVE,"Shepherded, in a way"
LOLA,Kinks song of 1970
SPARK,Explosion's cause
IDIOM,Manner of speaking
RADIO,Mariner's need
SOPHS,"10 students, for short?"
ALVIN,One of the Chipmunks
DOORS,Opportunities to speak so
TYS,Country singers England and Herndon
RANKS,Admiral and others
BUDS,Signs of winter's end
SYD,Cartoonist Hoff of The New Yorker
ILL,______-advised
I TEA,Willow variety
KING,"Cowboy, in poker slang"
SNUFF,Put (out)
LEVIS,"___ Stadium, home of the San Francisco 49ers"
RAGA,Shankar piece
VALOR,Pluck
YUK,"Joke, slangily"
NOB,Bean
TAPS,Call in the evening
ZINGS,Sharp knocks
SYRIA,Home to Raqqa
VEAL,Kind of chop
FOPS,Dandy fellows
TWIG,Bit of basketwork
ARLEN,"""One for My Baby"" composer"
NO A,"""___thousand times..."""
STIES,Duroc domiciles
ISM,Suffix with organ or patriot
ATS,@ @ @
BTU,Appliance spec.
HAJJI,Pilgrim to Mecca
GUSTO,Vigor
OH I,"""___ get it!"" (""Aha!"")"
YARD,Small football gain
ISNT,"""It ___ so"""
EPIC,Cast-of-thousands movie
LAGOS,Former African capital
GOUDA,Big wheel at a supermarket?
LPG A,Sports org. with the Vare Trophy
DICTS,Library shelfful: Abbr.
DODGE,Word before City or after Fort on Midwest maps
CANED,Punished with a stick
SHRUB,"Hydrangea, e.g."
UNFED,Starved
ELIDE,Abridge
OASES,Refreshing spots
LIM,Calculus abbr.
GOOP,"Tar, e.g."
MITTS,Catcher's collection
IRK,Trouble
AMITY,Opposite of hatred
TACH,Auto dial
TAJ,"Atlantic City destination, with ""the"""
BIC,Glue stick brand
DEPTH,Third dimension
AGAIN,"""You ___?"""
XIN,"Mark, as a ballot square"
BALD,Like Ionesco's soprano
SMOG,"Pollution from car emissions, in part"
BELA,Bandleader Fleck
KNOWS,"""Who ___ what evil lurks ..."""
THUMP,More than a gentle tap
GSA,Federal purchasing org.
VOID,Word on a sample check
ORT,Meal crumb
CP OS,"Navy noncoms, for short"
GRI A,Yago Sant'___ (wine brand)
TRACE,Evidence left behind
TEAKS,Trees used in shipbuilding
GOS,Get-___ (starts)
JAVA,Web app platform
MAH,_____-jongg
NAPS,Piles
STIFF,"""You lucky ___!"""
CHEZ,At the home of: Fr.
PREY,Part of a food chain
MEALS,"The squares of ""three squares"""
ARK,Boat that landed on 94-Down
BANK,Center of interest
REUNE,Get together after school?
EEE,Specialty shoe spec
GRITS,Down-home breakfast serving
A MAD,"""Diary of ___ Black Woman"" (2005 film)"
NAFTA,Western deal since 1994: Abbr.
CARB,"Bit of pasta, for short"
KOKO,"""Mikado"" executioner"
POI,Slightly fermented baked dish
NOOKS,Certain tablets
FILM,Canon fodder?
EVERT,Six-time U.S. Open champ
ERNST,Iowa senator elected in 2014
IDIOT,Dummkopf
JORGE,Author ___ Luis Borges
PORT,Where a cruise calls
SML,"Tee sizes, on signs"
LAU,Charley who caught Warren Spahn's 1961 no-hitter
SHIM,Slender wedge
TIZZY,Excited state
CPU,Core component of a PC
JUDGE,Form an impression of
JEST,Quip
ALDER,Guitar-making wood
RURAL,Opposite of urban
TSKS,Head-shakers' syllables
OKRA,Plant also known as ladies' fingers
FINAL,Sports climax
SHEDS,Sloughs off
KEMPT,Well-groomed
CR AT,Bureau add-on?
BUN,Roll
SMALL,Trivial
MIG,Korean War flier
BRICE,Fanny ___ of the Ziegfeld Follies
EPACT,Astronomical difference
POST,"Washington paper, with ""the"""
ARLON,Oldest known city in Belgium
PANSY,Colorful flower also known as heartsease
GLOBE,Planet
YONNE,Department of central France
MONTH,"The 4 in 4/6, e.g."
HERDS,Elephant groups
CRASS,Vulgar
AVOID,Dictionary usage advisory
HURRY,"""Step on it!"""
WILCO,Astronaut's answer
AGR,Farming area: Abbr.
POUND,"Feared destination in ""Lady and the Tramp"""
DENIM,Overall stuff
DOPY,Idiotic
TOONS,Cel mates?
MUS,High school dept.
MS GS,Secretaries may collect them: Abbr.
BUC,N.F.C. player
SY NS,Dict. listings
CLAWS,Parts of a crab that grab
GROPE,Feel (for)
QUIT,Withdraw
A TEN,U.N.C. Charlotte's athletic conf.
LURKS,Lies in wait
PIXEL,Computer bit
LEAKY,Sievelike
TOP40,Pop group?
GOP,"Republicans, collectively"
OCC,Infrequent: Abbr.
REIMS,Old French coronation city
ATRY,"""It's worth ___"""
DAWN,Start of a new day
AMANT,"Lover, in Le Havre"
ALETA,Comic strip queen
HOER,"Gardener, sometimes"
AN NO,___ regni
KOREA,See 54-Across
LOSER,Juvenile put-down
ON KP,"Cleaning a mess in a mess, maybe"
MELT,Alternative to a B.L.T.
IN NY,Belly-button type
UTAH,Ogden's locale
GATOR,Everglades critter
BOSCH,"""Garden of Earthly Delights"" painter"
PUG,*___ nose
SIDLE,Move obliquely
NE IN,German refusal
FREI,"Chilean president, 1964-70"
GINO,Vocalist Vannelli
SOMME,Amien's river
ROLES,Cast openings
NORAH,Grammy winner Jones
AETNA,Blue Cross competitor
UPSET,Big sports news
CREES,Canadian natives
BATHS,Turkish _____
EASER,Soother
CIG,"Marlboro or Camel, informally"
YULE,Holiday time
ACHED,"Needed a massage, say"
OS AY,Anthem starter
TREAT,Play host to
SAID,Came out with
TO LL,Cost to cross
ICU,"Post-O.R. stop, perhaps"
FORK,Stick with it
TZAR,Russian autocrat: Var.
TITI,Small monkey
WOAD,Blue dye
AT WT,"12.01, for carbon: Abbr."
CALC,Class graded on a curve?
SORB,"Collect on the surface, in chemistry"
SHAMS,Decorative bedding
TILDE,São Paulo has one
POV,Long-running PBS documentary film series
BRAYS,Sounds like a donkey
RAPS,90's songs
NULLS,Cancels
COOPT,Take as one's own
NEGEV,Beersheba is in it
BSMT,"Cellar, in classifieds"
KITS,Hobby shop stock
URLS,Bookmarked collection
DEEP,Tough to grasp
CUM,Diploma word
BELAY,"Fasten, as a rope"
JADA,Nonsense song of 1918
ALUMS,Homecoming attendees
LOD,City in the Plain of Sharon
BEACH,Place to take an umbrella
MALO,Opposite of bueno
DOLE,Charity allotment
BE DE,"George Eliot's ""Adam ___"""
TAMES,Takes the wildness out of
CC ED,"Kept in the loop, in a way"
URIAH,Dicken's _____ Heep
GUAVA,Fruit whose name comes from Arawak
SCRIM,Fabric for theater curtains
THOU,Grand total?
SUCH,Very
WRENS,Small songsters
TANEY,Chief justice during the Civil War
PACO,"Rabanne who was the costume designer for ""Barbarella"""
DARA,Neil Sedaka's daughter/co-singer
RULES,Game needs
SHADS,Hudson River school?
HEEL,Sole support
FINED,"Getting just a slap on the wrist, say"
NARCS,They're not exactly user-friendly
AUX,"""La Cage ___ Folles"""
RIGS,Fixes badly?
MOSE,Jazzman ___ Allison
BAR A,Theda ___ of the silents
CIGS,They may be bummed
STEVE,"Det. McGarrett of ""Hawaii Five-O"""
OLS,Suffixes with glycer- and phen-
LAINE,Singer Cleo or Frankie
PLIED,Worked regularly at
DURER,Printmaker Albrecht
ROMA,Monte Palatino locale
VIOL,Old fiddle
STRIA,Tiny groove
PELFS,Ill-gotten gains
USAF,Fliers' mil. branch
ALI I,Et _____ (and others): Lat.
DUDS,Garb
LUX,University motto word
UN AS,"Some, in Seville"
ALD,Municipal council mem.
PAST,Events gone by
DRUID,Celtic priest
RIAS,Mooring sites
LUTE,Cousin of a bandore
MIRV,Part of the U.S. nuclear arsenal
PURR,Sound of a cat or engine
STEEP,Brew
SONNY,Little fella
HIRES,"Like good computer screens, informally"
ANKHS,Old Egyptian crosses
BANES,Bêtes noires
GAUL,Caesarean conquest
LEANN,Rimes of country music
MICA,Constituent of biotite
RO JO,Like vino tinto
SLAW,Order at KFC
TR EX,"""The Lost World"" menace, briefly"
CROWD,Throng
REFIT,Size again
SCAD,Multitude
SHOR,"Subject of ""Toots"" by Bob Considine, 1969"
BROMO,Stomach settler
JIMMY,"Force open, as a lock"
AYS,Replies at sea
PGH,"The Steel City, for short"
USES,Puts into service
BEANE,Baseball general manager Billy
MITT,Fly-catching aid
ELLS,Corner pieces
NA OH,"Caustic soda, symbolically"
SNOBS,Haughty ones
NILS,Rock guitarist Lofgren
BON,"""___ chance!"""
VERSO,It's left in a book
ICHOR,Gods' blood
ZETA,Z abroad
DORMS,Campus digs
EVERY,"""_____ Little Movement"" (Dorsey Brothers hit)"
HEX,Put the whammy on
DOSE,Hospital meal accompanier
HOIST,Give a lift
DA YO,Harry Belafonte song phrase
OR SO,Roundabouts
KEDS,"Its slogan was once ""They feel good"""
SNUB,Blunt
STIRS,Uproars
PAD,Crash site?
SQ MI,"One of about 1,000 in Lux."
LORAL,Major defense contractor
JAIL,See 33-Across
DISCO,1970's-80's musical craze
BASIL,Herb pronounced differently in the U.S. and U.K.
VIVID,Bright-colored
PUNT,"Admit defeat, in a way"
MILAN,La Scala's home
NIE,"Never, in Nikolaus"
GOLFS,Does a round of nine
UNAPT,Not appropriate
UP A,Work _____ sweat
BEGAT,Produced
HOAG,Romance novelist Tami
SOFA,Common crash site?
JARED,1998 Pulitzer nonfiction winner ___ Diamond
MTG,"Appt., often"
SDS,Grp. that opposed the Vietnam War
A CRO,Onset of phobia?
HILL,See 13-Down
SOOTS,Covers with fine black particles
DIRGE,"Bagpipe music, maybe"
LINO,Prefix with type
MOCS,"Tribal wear, for short"
CHEEK,Sassiness
CANT,"""This ___ be!"""
LORRY,It might carry coal to Newcastle
GORE,Current 5-Across
PUNTS,Rugby kicks
DIF,"""What's the ___?"" (""Who cares?"")"
ORU,Okla. school
GAUZE,First-aid kit staple
LOGOS,Racecar adornments
OXLIP,Primrose family member
STN,"Penn, e.g., in N.Y.C."
GMC,It has pickup lines
SELES,Tennis star making a return?
EF GH,Alphabet quartet
SA PP,"Warren ___, 1999 N.F.L. Defensive Player of the Year"
HELEN,"Hunt of ""As Good as It Gets"""
LTS,Grads of O.T.S.
III,"A crowd, for Caesar?"
NAURU,Micronesian land
EPS,PC graphics format
JAPE,Wisecrack
CHRIS,Rock or Pine
FAM,Rels.
VOICE,Alto or soprano
MARGO,Pulitzer winner ___ Jefferson
HUD,1963 title role for Paul Newman
SLYER,Less straightforward
UMPED,Called strikes and balls
A TUG,Give ___ (yank)
WHILE,"*""___ England Slept"" (1938 Churchill book)"
LBOS,"Some mergers, for short"
WAFTS,Floats gently
UVEA,"Part of the face whose name is derived from the Latin for ""grape"""
LEGS,"Stamina, figuratively"
AWASH,Up to one's neck (in)
ASSAM,Silk-making region
PARES,Reduces
LAVER,Rod with a racquet
COACT,Work together
ACU,Puncture preceder
GASPS,Running pants?
BCD,Three before E
IN AN,Put ___ appearance
A LAP,Gain ___ (get ahead in a race)
THAW,Melting period
COS,Lettuce type
PAULA,"""Hey ___"" (1963 pop hit)"
JOON,"""Benny & ___"" (1993 romance)"
ASIDE,"""Penny Lane,"" not ""Strawberry Fields Forever"""
JOSE,1920's chess champion Capablanca
FINI,"Done, in Dunkirk"
UMAMI,Taste quality
YOGA,Lotus position discipline
AM AS,Second of a Latin 101 trio
BEETS,Mangel-wurzels
FAHD,Saudi king
IMAGE,Google search object
ABBY,"""Eight Is Enough"" wife"
TACET,"""Be silent,"" musically"
WEIR,"""Witness"" director Peter"
SCENE,All-too-public spat
BOND,Attraction in a carbon dioxide molecule
NAB,Bag
SIX,It shares a key with a caret
RUM,Mai tai ingredient
DERON,Three-time N.B.A. All-Star Williams
AM PM,Alarm clock toggle
GRIP,Purchase
ADD A,"""___ little spice to your life"""
FREUD,Wizard of id
BOCCE,Lawn game that's in the Special Olympics
TING,Wind chimes sound
CRONY,Bosom buddy
ESNES,Hirelings of old
BARB,Sticker
NUDGE,"Alternative to a ""Psst!"""
FUSED,Amalgamated
GAUGE,Railroad measure
TSKED,Expressed audible admonishment
DIME,Thin coin
BRAG,Talk big
TNN,"Spike TV, formerly"
HAIL,Call
KILLS,Volleyball stat
FEEL,Bleed (for)
SUMP,Place for a pump
RENDS,Pulls apart
BYE,"""Ta-ta!"""
WDS,Sentence fragments: Abbr.
OCULI,Eye-shaped openings
BOZO,Popular clown
DUH,Word accompanying a head slap
SMURF,Kids' TV character
BLUR,"Memory of a very busy day, maybe"
POSIT,Put forth
SCHMO,Working stiff
UBOLT,"Letter-shaped, threaded fastener"
SWANN,"Main character in Proust's ""Remembrance of Things Past"""
HASTA,"""___ la vista"""
TRUE,Factual
FUEL,"Gas, oil or coal"
FDIC,Banking inits.
LIA,___ Fáil (ancient crowning stone)
XD IN,"Marked, as a box"
EXPEL,Cough up
SHARI,Lewis of Lamb Chop fame
SAT,Pre-coll. exam
HUNK,Playgirl calendar type
A ILE,French wing
BRAWN,Brain's counterpart
LFO,"Band with the 1999 hit ""Summer Girls"""
GNP,It has a domestic counterpart: Abbr.
LEFTS,Certain jabs
CAROL,Christmas song
GO OF,Clown (around)
NEBO,"Jordan's Mount ___, from which Jericho can be seen"
PIQUE,Tick off
DUES,Money to belong
JAZZ,Newport festival music
POISE,Rating subject at a beauty pageant
NFC,Gridiron grp.
LIND,Barnum's soprano
DUCKS,Teals and mallards
HYPOS,Some needles
CART,"Transport, in a way"
TERMS,Contract specs
LEWIS,"Defeater of Holyfield, 1999, for the world heavyweight title"
PINUP,"Locker photo, maybe"
IMP,"Sitter hitter, maybe"
WALE,Fabric rib
ESTA,"Is, to Isabella"
SULLA,Roman general and dictator
ALEF,A as in Absalom
BAWL,Not just sniffle
VEERY,Tawny thrush
NOVO,De ___ (anew)
ESSEX,Favorite of Elizabeth
RAID,"Bust, so to speak"
IS UP,"""Your time ___!"""
MON,"When ""The Lucy Show"" aired: Abbr."
BEERS,They may come in a round
LATTE,Drink that may be vanilla-flavored
AMEX,N.Y.S.E. neighbor
FLANK,Steak cut
AFT,Opposite of fore
BOGGS,Wade who was five-time A.L. batting champ
ARRET,"Stop, in France"
PEEN,Rounded end
NERDY,Far from cool
LAPP,Certain Finn
SHEBA,Biblical queendom
MACKS,Big trucks
SGT,E-5: Abbr.
NGO,"CARE, e.g., in brief"
HAMS,Muggers
PALED,Blanched
EDDIE,Griffin of the N.B.A.
EMIT,Spew forth
RASPS,Coarse files
ANZAC,Down Under soldier
CCL,A quarter of M
TECH,Word after Georgia or Virginia in school names
AVG,Exchange fig.
MAZY,Tangled and interwoven
TUTUS,"""Swan Lake"" garb"
SIDES,Factions
NIGH,Close by
MUM,"It's ""the word"""
ERRED,Screwed up
DANES,They may be great
ALOP,Hanging loosely
XVII,1983 Super Bowl designation
FORE,Fairway warning
A LIG,Alter ego of Borat and Brüno
DECCA,Bing Crosby's label
LUISE,Actress Rainer
STOUT,Solidly built
GEESE,Birds flying in a V formation
KENDO,"""Way of the sword"" sport"
EDWIN,Buzz Aldrin's real first name
HOOCH,Likker
AHEAD,In front
BULB,Flower starter
DIVE,Enter a pool headfirst
NACRE,Inlay on some guitars
DINTS,Forces
EYER,Witness
TRAY,Lazy Susan
WON,Peso : Mexico :: ___ : Korea
TELEX,Bygone point-to-point communication
SHARP,Quick-witted
SRTA,"Dora the Explorer, for one: Abbr."
HALO,Circle of angels?
YAWNS,"Is wide open, as a chasm"
OGLE,Wolf's look
SAGO,___ pearls (tapioca lookalike)
LEONE,Sierra ___ (African country)
POLS,Folks in smoke-filled rooms
FLASK,Liquor holder in a coat pocket
BLESS,Hallow
BARER,Ecdysiast
OOHS,Wonder-full sounds
CEASE,Not go on
FAR,"Word repeated at the start of every ""Star Wars"" film"
OOPS,Word of dismay
HONAN,Province of China
AHH,Opening sound?
MAIL,Contents of some drop boxes
XENON,Element in arc lamps
VOWEL,"I, for one"
MOLDS,Foundry supply
KILT,Black Watch soldier's garb
BLOW,Diddle away
LIKES,Takes a shine to
GLOW,Gentle firelight
FLEUR,Bloom in le jardin
SWANS,Graceful birds
SOLAR,Like the Gregorian calendar
AND I,"""The King ____"""
RUBEN,"""American Idol"" champ Studdard"
CDL,Fifth-century date
FAST,"""Spartacus"" author"
LIST,Schindler's request
CREST,Waveform maximum
SUMOS,Ring heavyweights
I LER,"""The Sopranos"" actor"
A AS,Some toy batteries
GOGH,Van ___
TROUT,Brook catch
RIGGS,"One of the detectives in ""Lethal Weapon"""
OVATE,Eggy?
TRY,Go for it
SNAG,Tiny problem
UP TO,Scheming about
SPEAK,Canine command
ETHER,What a knockout!
BEAST,Beauty's swain
HALAL,Islamic analogue of kosher
TALON,Part of a kite
PONT,___ Neuf (Parisian landmark)
ROUE,Smooth operator
TOBEY,Maguire of Hollywood
ARIZ,N.M. neighbor
SIGMA,Sum symbol
NA NU,"When doubled, an old TV signoff"
HAD,Conned
ELATH,Ancient city on the Gulf of Aqaba
AZOV,Don River's outlet
TEXTS,Comments from ones who are all thumbs?
SHREW,Relative of a mole
I SU,Sch. in Ames
DYADS,Twosomes
SCOOP,Baskin-Robbins unit
DRAG,Pull behind
PIA,Lindstrom or Zadora
DAFE,See 25-Across
HERD,"""Thundering"" group"
PLUMB,Perfectly vertical
SANDE,1930 Triple Crown jockey
LADY,Madam
SLOSH,Not stay still in a container
REF,Make the calls
HEARD,Got the message
SES,"His or her, in France"
TAELS,Asian weight units
RECTO,Half a literary leaf
HOLY,H.R.E. part
PRONE,Lying facedown
TSGT,U.S.A.F. NCO
VENUS,Star impersonator?
BODY,Kind of language
IM ON,"""It's showtime!"""
DUELS,Combats of honor
DEB,Belle of a ball
CAPEK,"""The Insect Play"" playwright"
SE IS,Número of Mexican states that border the U.S.
CRANE,Sleepy Hollow schoolmaster
PIPER,Parade tootler
AGS,D.O.J. heads
DLI,Mid 6th-century date
CHAIN,Item of neckwear
GRIN,Prankster's look
NICOL,"Lesley who played Mrs. Patmore on ""Downton Abbey"""
BRIDE,"Name dropper, often?"
GENOA,Where explorer John Cabot was born
SHANA,Alexander of debates
BOGS,Cranberries thrive here
GRIPS,Rigging technicians
ROC,Former Fox sitcom
BBS,Toy gun pellets
LAMAS,Temple figures
FALDO,Three-time Masters winner Nick
GAFFS,Fishing hooks
STALE,Like an old cigar
BE OF,"""___ good cheer"""
DVDS,Burned things
GENTS,Lavatory label
ENTOM,Div. of biology
MINTS,Coins
OSO,Bernardo's bear
FE HR,N.H.L. players' representative Donald
STD,The usual: Abbr.
LEOS,"Bill Clinton and Arnold Schwarzenegger, to the stars?"
SOILS,Agronomists' samples
HOYAS,Georgetown athletes
CRUSH,Puppy love
THRU,By way of
NEDS,Flanders and Kelly
BMI,Inits. in music licensing
HACK,"Break into, as a computer"
MUSES,Nine daughters of Zeus
DADOS,Carpentry grooves
BITES,Falls for it
FROND,103-Down appendage
BOHR,"Physicist who said ""Anyone who is not shocked by quantum theory has not understood it"""
TARA,Manor near Twelve Oaks
HOFFA,Missing Jimmy
OTHE,Will-_____-wisp
EXERT,Put out
KNOWN,On the map
NO NO,A don't
POD,Escape ___
OXES,"Clumsy, stupid fellows"
BLURB,Squib
EBAY,"Where Al Yankovic bought a ""Dukes of Hazzard"" ashtray, in song"
I SO,Prefix with -meric
LENTS,Periods after Mardi Gras
PEONS,"Minimum wage makers, maybe"
PRIMP,Get the hair just right
MARG,"Helgenberger of ""CSI"""
FLOOD,Kind of insurance
CAPS,Puts a limit on
EWW,Comment regarding a squashed bug
COOT,Old feller
GOWNS,They might come with trains
8AM,Rush-hour hour
ERUPT,Burst
GENRE,Video store category
LEHRS,Glassware ovens
ATTU,Battle of ___ (1943 U.S./Japanese conflict)
FERIA,Spanish carnival
UNMAN,Terrify
HEDDA,"Ibsen's ""___ Gabler"""
WIRY,Lean and sinewy
ERNS,Fliers with wedge-shaped tails
GRADE,Slope
FUM,Giant's word
SEISM,Earth-shaking event
USPS,Mail org.
PETIT,"Minor, legally"
DART,Bolt
ER IQ,"La Salle of ""ER"""
JUICE,"Result of squeezing, maybe"
AM SO,"""I ___ dead!"""
SWAIN,Lover
SCANS,"Reads, as bar codes"
PIVOT,Center's position
SICK,Under the weather
PANT,Breathe hard
HIES,Hotfoots it
NAVAL,Like some forces
DRJ,"Hoops legend, familiarly"
IS SA,House committee chairman Darrell
HEATH,Shrubby expanse
HIVES,Busy places
WEAK,Lacking strength
SEALS,Fisherman's Wharf attraction
LAZED,"Chilled, so to speak"
MCRAE,Jazz great Carmen
HELLS,___ Angels
DIGIT,"Thumb, for one"
DEVO,Quirky 70's-80's band
TRAIN,"Wabash Cannonball, e.g."
KYLE,Nascar's Busch or Petty
ROCK,Led Zeppelin's genre
ERIA,Ending with ranch
CATS,Burmese and others
RSVP,"Say ""Yeah, I can make it,"" say"
ADLER,"Irene ___ (""A Scandal in Bohemia"" woman)"
OBIES,Annual May announcements
WOOD,"Covered club, usually"
CESAR,"Millan who's known as ""the Dog Whisperer"""
KC AR,1980's Chrysler product
ROIL,Churn
OWED,Saw red?
BATES,Norman's motel
BIER,Coffin holder
OE IL,French for 44-Across
XIII,Constitutional Amendment that abolished slavery
A VS,School communication depts.
CLIP,Film excerpt
ORLY,Hub for Air Caraïbes Atlantique
SLOPE,Geometry calculation
TILLS,Bill collectors?
EMCEE,"Jon Stewart, for one"
OGLES,Gives elevator eyes
KIDD,Pirate captain of legend
DISCS,Some are slipped
UEYS,"180's, slangily"
CATT,V.I.P. in woman suffrage
RYS,Trains: Abbr.
MONTE,National card game of Mexico
IPAD,Modern cash register device
SALON,Where dos get done
RUPEE,Money in India
KELSO,Only five-time U.S. Horse of the Year
DAR,Org. since 1890
ACS,Heat beaters: Abbr.
OS TE,"Bone, in combinations"
ROTA,Papal tribunal
PATEN,Eucharist holder
NODAL,Like lymphatic tissue
PC BS,Highly toxic pollutants
ABU,"With 18-Across, capital of the United Arab Emirates"
DEFER,Postpone
LIDS,Eye liners
RODEO,Place for barrels
TYRE,Home to a Shakespearean prince
GREGG,"Texas county named for a Civil War general, with its seat in Longview"
MINOR,One barred from bars
QUADS,Leg presses work them
JODIE,Foster child in '60s TV commercials
NEVA,Winter Palace river
KAN,Home for Wyatt Earp: Abbr.
WAVER,Not be steadfast
STERE,Wood measure
NE KO,Indie rocker Case
CM VI,The year 906
BAUER,50's Yankees great Hank
RUSSO,"Richard ___, 2002 Pulitzer winner for Fiction"
TUNIS,One of the Barbary States
HOOEY,Rubbish
LUCRE,Monetary gain
TOILE,Scenic drapery fabric
BATHE,Get clean
GLOBS,"Servings of mashed potatoes, e.g."
LARDS,Greases up
ORZO,Minestrone morsels
OZONE,Air supply
ROWEL,Wheel of a spur
LUXOR,City across the Nile from the Valley of the Kings
BABA,Ali___of children's fiction
A PBS,Some calls to smokeys
BLISS,Felicity
MISER,Stingy sort
FRESH,"Deserving a slap, perhaps"
TOSS,Ring game
REDOS,Makeovers
ST LO,"Normandy campaign town, 1944"
LDS,Mormon grp.
ACAI,Smoothie berry
DABBA,Part of a Flintstone's yell
DUMA,Russian assembly
MOJO,"Self-confidence, slangily"
CLAY,Medium for cuneiform writing
DINGS,Minor dents
PIP,One of 21 on a die
SHIH,"""___ Ching"" (classic book of Chinese poetry)"
SEN,"Clinton or Obama, once: Abbr."
ON EC,Equivalent of 20 fins
DUNK,Basketball highlight
GAWKS,Goggles
HARSH,Like some truths
MOBS,Unruly crowds
ACERS,Sampras and others
EKE,"Barely get, with ""out"""
SESS,Part of a conference sched.
JPEGS,Some high-tech images
A US,"""The Sound of Music"" setting: Abbr."
OR NO,Little ___ ...
ILENE,"""Mr. Belvedere"" actress Graff"
SLAM,Dis
YURI,Soviet leader Andropov
UP CS,"Scannable symbols on store items, for short"
MIDGE,Pond insect
LICIT,On the up and up
BEEPS,Toots
ABOUT,Close to
OH SO,"""___ that's your game!"""
WASTE,Refuse
MEADE,"Fort ___, Md."
TKOS,Certain match results
SUITE,Place for hospitality
EXTRA,Add-on
ARGUS,Hundred-eyed monster of myth
SOUR,Lip-puckering
SHRUG,"""Beats me"" gesture"
OYS,Cries of exasperation
SHAH,Former ruler of Iran
VEINS,Circulation needs
ADEPT,Showing mastery
LASER,CD player part
HIKE,Hoof it
GRAM,Tiny weight unit
ASSES,Complete fools
ST AX,Classic R&B record label
CIA,Org. in Robert Ludlum novels
TINE,Antler point
BR EF,"Concise, in Cannes"
APOS,Mil. address
NATL,Like some parks: Abbr.
FLY,Wing it?
VESTS,Three-piece parts
PEWS,Mass seating
OMS,New Agey sounds
HAIM,Onetime teen idol Corey
WAD,Monetary unit?
OSS,1946 Alan Ladd film
A BAB,Unimaginative rhyme scheme
IM IT,Cry during a recess game
ENOLA,"___ Gay, W.W. II bomber"
POLES,___ apart
REE,"""Winter's Bone"" heroine ___ Dolly"
CLU,Actor Gulager of old TV
EARNS,Works hard for
SEPAL,Certain leaf
AEONS,Almost forever
SWAY,Have influence on
IRV,"___ Cross, first African-American full-time sports analyst on national TV"
INFRA,Prefix with red
AVER,Assert as a fact
EMMY,Oscar : film :: ___ : TV
KFC,Crispy Twister sandwich offerer
TOD,"Mann's ""Der ___ in Venedig"""
TSPS,48 in a cup: Abbr.
ALG,"""Solve for x"" subj."
STALL,Stable spot
REECE,Volleyballer/model Gabrielle
MEOW,"""Got milk?"" request?"
NO TH,"Chris ___, player of Mr. Big on ""Sex and the City"""
RIELS,Cambodian currency
A BID,Put ___ on (go for at auction)
RANT,Hothead's response
TIMUR,"King of Tartary in ""Turandot"""
LIEF,"Happily, old-style"
HELIX,Screw
WOLFE,Author of the 1968 work named in the circled letters (reading clockwise)
ELOGE,Funeral delivery of old
WHAT,Request for repetition
SISAL,Fiber-yielding plant
AXON,White matter component
VERSE,"Limerick, e.g."
BRACE,Reinforcement
SHAYS,___ Rebellion
BING,"""5,000 Nights at the Opera"" author"
SOLID,Financially sound
SEL,Bifteck seasoning
TER,Painter Gerard _____ Borch
A PAR,On ___ with (equal to)
COREL,WordPerfect company
WHIR,Blender sound
AGANA,Guam's capital
A HN,"Philip of ""Kung Fu"""
SLUNG,Tossed
WARM,Cordial
LIT,Burning
MOTIF,Decorator's theme
ORCAS,They might catch some rays
MATH,What's nothing but problems?
SLOMO,Instant replay effect
DUNCE,Last in the class
MT GS,Chairmen often call them: Abbr.
YEWS,Bearers of bright red arils
RACES,Peoples
SARAH,"Woman's name meaning ""princess"""
SERE,Arid
YALTA,Crimean resort
TO I,"""Tais-___!"" (French ""Shut up!"")"
BEEP,Page
MACED,"Sprayed, in a way"
A GRI,Prefix with business
SPINS,Short drives
PATCH,Where watermelons grow
CINE,Jean Renoir's field
EA US,"Waters, informally"
LIPPI,Painter Fra Filippo ___
COORS,"""As cold as the Rockies"" sloganeer"
USCG,Org. with boats
TYPE,Kind
DOVES,"""War is not the answer"" people"
PLUNK,Coin sound
SIE,You: Ger.
NUOVA,Milan's Porta ___
TOROS,Some lawn mowers
WHISK,___ broom
DONT,"""Stop it!"""
I NB,Schubert's Symphony No. 8 ___ Minor
GRAVY,"""Good ___!"""
UPS,Delivery co.
UI ES,"Some GPS suggestions, informally"
ROWE,"""Lady Jane Grey"" dramatist, 1715"
VENAL,Easily corrupted
AUTH,Short story-writer
KNAR,Trunk protuberance
LABS,"""Chocolate"" dogs"
EDILE,Roman magistrate
ACRES,"The 40 of a ""back 40"""
WAY,Fashion
GRIFT,"Swindle, in a way"
HELIO,Prefix with tropic
RAJAH,Eastern ruler
BELEM,Brazilian port of 1 million
KILN,Site of many firings
